id,date,num_injured,description,location_id,accident_category_id,ride_id
1007033,2011-06-10,1,"Patron stated while stepping out of the vehicle, she fell backwards and hit the back of her head on the ground.",0,0,33
1007030,2011-06-10,1,"Patron stated that while riding with her arms in the air, she experienced pain in her left shoulder.",3,1,19
1007038,2011-06-11,1,Patron reported rib and chest pain.,1,1,7
1006887,2011-06-11,1,"Patron got on the ride and shile sitting there before the ride started, she had a seizure. She was removed from the ride and waited for first aid. She has a history of seizures.",8,3,13
1007026,2011-06-12,1,"At the end of the ride, the child was exiting the ride when he fell.",4,0,34
1007053,2011-06-13,1,"Patron's hand slipped while pumping ride, causing pain in left wrist. Reported a week later.",6,1,14
1007049,2011-06-13,1,Patron stated that he fell when exiting ride vehicle.,0,0,35
1006884,2011-06-13,1,"Patron was standing on the queue line rail waiting to get on the ride. He slipped and fell, hitting his chin on the pavement.",13,11,36
1007041,2011-06-14,1,"After patron exited the station, her friends notified the park that she was not feeling well and that her head hurt. Friends informed first aid that she has a history of panic attacks.",3,1,9
1003336,2011-06-14,1,Father of injured guest stated that he slid forward on the drop and pushed into his daughter (the injured guest) causing her to injure her left arm.,9,5,37
1007042,2011-06-18,1,Patron stated he felt chest pains after disembarking attraction.,0,1,2
1004480,2011-06-18,1,Child slipped out of a seat. Cause unkonwn.,15,15,38
1006878,2011-06-19,1,Patron was exiting log boat 5 from the front seat. His right leg got stuck between the boat's floor board and the front dash pad.,10,0,22
1007089,2011-06-22,1,Email from patron's daughter reporting rib contusion.,1,4,7
1007088,2011-06-22,1,Patron reported neck and back pain via email.,1,1,7
1007057,2011-06-23,1,"While exiting the ride area through exit gate, patron's left index finger got closed between the gate and fence post.",5,11,39
1003392,2011-06-23,1,Ride was not in motion at the time of incident. Child was done the ride as she was walking around platform her foot was struck by the wheel of another vehicle for an unknown reason - possibly vehicle was pushed accidently by another patron as they were unloading.,16,16,40
1007054,2011-06-24,1,Patron fell back and hit back of head on fire hydrant.,6,17,14
1007059,2011-06-25,1,Patron stated she had a seizure after exiting the ride. History of childhood seizures.,0,3,2
1007058,2011-06-25,1,Patron chipped front tooth after biting down on bottom teeth.,1,4,7
1005086,2011-06-26,1,"The ride broke a sweep pole on #7 plane. The ride had been lowered and was raising again when the yellow plane came down from 4' high onto the runway, but stayed attached to the ride and swept in a forward motion for approximately 20 feet. The sweep rodes were NDT'd before start of season and passing inspection.",17,14,41
1007064,2011-06-27,1,Child was exiting ride vehicle and ran into an exit gate.,6,0,14
1006826,2011-06-27,1,"During the ride, the patron struck her front teeth on the restraint.",13,4,42
1003077,2011-06-27,1,"Patron &amp; her sister were on the Starship, they were seated directly behind the operator. They were unsure of the seat number. &nbsp;Stated that as the ride was operating she slid her hand around the side of the seat. &nbsp;As the ride slowed and the seat sleaed down her finger was caughted between two seats. She was able to remove her hand.",18,18,43
1007082,2011-06-28,1,Patron alleges that she fractured her right foot when her foot slipped off a wet seat while entering the boat. Patron was wearing flip flops.,0,0,0
1006824,2011-06-29,1,Patron was entering the ride when she was struck by an entrance gate that was opened by another patron. She was wearing glasses and the impact caused a laceration.,8,11,44
1006823,2011-06-29,1,Patron had a seizure while riding. This was the second seizure of the day. Patron has history of seizures.,10,3,10
1007080,2011-06-30,1,Patron stated she bruised her left side when she slipped and fell when stepping onto the wet seat while entering the boat.,0,0,0
1006821,2011-06-30,1,Patron had an anxiety attack,10,2,45
1007489,2011-07-01,1,Patron was stepping out of the boat ride and twisted her right ankle.,4,0,46
1002921,2011-07-01,1,"As the car was going down the second drop, she could not grip the forward hitting her left knee on the front of the car causing the knee to swell.",14,4,47
1001400,2011-07-01,1,Patron's finger caught in latch.,19,6,48
1007068,2011-07-04,1,"After the patron rode two times in succession, she stated that she hit her head during the ride. She had her head forward when she slammed against the back of the ride. She rested in first aid, returned to park, then parents requested transport later in the day.",3,4,9
1007070,2011-07-05,1,Patron reported feeling out of breath and fainted after exiting the ride. He mentioned he had not taken his glucose medication all day.,2,2,49
1002922,2011-07-05,1,"When child was exiting the train, she was pushed into the right side of the ride causing her to fall into a train car, receiving the laceration upon impact.",14,0,50
1007076,2011-07-06,1,Patron was exiting out of the boat and slipped between boat and unload platform.,2,0,4
1007069,2011-07-06,1,"Patron was stopped on a vehicle on the lift. The ride was restarted and he left the vehicle. After the park closed, he called 911 from outside the park complaining of a headache.",3,19,25
1006820,2011-07-06,1,Patron hit her head on the headrest while assisting a child into the raft.,8,0,10
1003081,2011-07-07,1,Patron and her father were on the platform. &nbsp;The lap bar to car # 3 was closed. &nbsp;The opertor attempted to open the lap bar. &nbsp;Marise stuck her finger into the the lock once as the lap bar opened it caught her finger in the lock-pinching it.,18,6,51
1007081,2011-07-08,1,Patron stated she experienced left rib pain shortly after exiting the attraction.,0,1,0
1007119,2011-07-09,1,"Patron stated she slipped and fell entering the boat, fracturing her right foot.",0,0,0
1007083,2011-07-10,1,"Patron complained of head pain after riding. She left first aid, then returned later in the day and requested transport to the hospital.",3,1,52
1001520,2011-07-12,1,Fell backward entering ride vehicle,20,0,39
1007177,2011-07-14,1,"Patron stated she slipped getting off the raft, injuring left ankle.",0,0,10
1006812,2011-07-14,1,"After exiting the ride, patron was experiencing neck pain.",8,1,53
1004485,2011-07-15,1,Patron's elbow came in contact with outside of seat during course of the ride.,21,20,7
1007107,2011-07-16,1,Patron struck chin on thighs by lap bar.,1,4,54
1007093,2011-07-16,1,Patron stated he injured his neck while on ride.,0,1,3
1006810,2011-07-16,1,Patron was getting onto the ride and hit her face on the harness.,10,6,1
1006809,2011-07-16,1,Patron was riding and complained of pain after getting off.,8,1,55
1007108,2011-07-19,1,"Patron stated she slipped and fell entering the boat, injuring her head, neck and hip.",0,0,0
1007105,2011-07-19,1,Patron stated that he was dizzy and nauseous after riding.,0,2,2
1007101,2011-07-19,1,Patron rode with a pre-existing condition to his lower leg. After ride he complained of pain the same leg and requested transport to hospital.,3,1,9
1007144,2011-07-20,1,Mom noticed son had a laceration to head and bleeding while taking picture of child. Exact location of injury is unknown.,6,4,32
1007143,2011-07-20,1,Patron hit her mouth on joy stick and chipped her tooth.,6,4,14
1006805,2011-07-20,1,"While getting off the ride, patron turned to step down when he heard and felt a pop coming from his knee.  It popped three times. Patron was in the 2nd or 3rd row from the operator and found it a little hard to step down off the ride.",13,0,56
1007175,2011-07-22,1,Mother called park to report her son has a fractured T1 vertebrae,1,4,7
1007112,2011-07-23,1,"Patron was in the boat sitting with a friend. As they came down drop one, she leaned forward and into her friend's shoulder. After the drop, she had neck pain.",4,9,57
1006802,2011-07-23,1,"Sometime during the ride, patron was jolted and felt pain in her neck and back.",13,9,29
1006801,2011-07-23,1,The restraint came down on the patron's neck.,8,6,13
1004000,2011-07-23,2,Two teenagers were transported to the hospital with minor injuries when the ride failed. The passenger compartment they were in and its swing arm fell to the ground. The failure occurred at the ride's hinge pin weldment.,22,14,58
1002546,2011-07-23,3,"Sweep broke at the hinge pin weldment, causing it to fall and hit the ground while in operation. The sweep had 2 tubs on the end: one empty and one with 2 patrons. The park had records showing annual NDT was performed with &quot;no relevant indications found&quot; four months prior to the accident. &nbsp;The investigating officer did find visual evidence of prior cracking on sweeps. The park decided to dismantle the ride instead of repairing it.",23,14,58
1005131,2011-07-25,1,11yo girl was riding in tea cup when she got her left knee wedged between the turntable and the seat. This caused her to twist her knee.,11,18,59
1006873,2011-07-27,1,Patron was riding when she hit her head on the ride seat and then hit her friend's head.,13,4,60
1003391,2011-07-27,1,"As tram was moving, someone was walking &amp; texting as he crossed the road and the driver stopped the tram. &nbsp;When he did, a child bumped his nose on the framework in front of seat 10.",16,4,61
1002918,2011-07-27,1,Patron suffered an asthma attack. &nbsp;She forgot her inhailer.,14,2,62
1004487,2011-07-28,1,"Patron, who is 5'2&quot;, hit eyebrow area on side of train during the course of the ride.",21,4,7
1006870,2011-07-31,1,"While stepping up onto the platform to board the ride, patron did not lift her foot up high enough and, as a result, she hit her foot and fell. As she fell, she caught the pole, which possibly caused the injury to her am.",13,0,63
1006868,2011-07-31,1,"While loading into the bumper car, patron slipped and injured her back.",10,0,64
1007131,2011-08-01,1,Leaned forward while ride was still spinning.,4,4,65
1006867,2011-08-01,1,Patron rode the ride and complained of neck pain after she got off. She was unable to keep her head up.,8,1,53
1006866,2011-08-01,1,Patron was riding with her daughter. She felt pain to her left side area after the ride was over.,13,1,63
1007127,2011-08-02,1,"Patron stated her headache turned into a migraine after going on ride and she rested 4.5 hours in first aid, after which her husband took her to the hospital.",0,1,3
1006865,2011-08-02,1,Patron complained of neck pain after riding the coaster.,10,1,66
1007137,2011-08-04,1,"Patron stated that while riding, at the end of the ride, it hurt to move his neck.",3,1,52
1007141,2011-08-05,1,"Patron was exiting vehicle and slipped, injuring her ankle.",6,0,14
1007133,2011-08-05,1,Patron experienced lumbar pain after riding.,1,1,24
1007140,2011-08-06,1,Patron stated she experienced right shoulder pain while on the attraction.,0,1,2
1007139,2011-08-07,1,Patron stated he was experiencing difficulty breathing after riding the attraction. Has previous medical history.,0,2,0
1007153,2011-08-08,1,Mother alleges ride operator injured her son's ankle when attempting to assist him onto the ride.,1,0,67
1007150,2011-08-09,1,Patron stated she was on the attraction and the back of her earring became lodged in the nape of her neck.,0,21,2
1006860,2011-08-09,1,Patron was sitting inside the car at the beginning of the ride when she hit her head on the rail inside the car.,13,4,29
1006911,2011-08-10,1,"Patron boarded the ride, but the train was not sent from the station due to an electrical issue. The train was unloaded in the station and the patron walked to guest relations and complained of neck and back pain, requesting to be sent to the hospital.",3,14,25
1006858,2011-08-10,1,"At end of the ride, as patron was getting off, she felt shaky.  It was unclear whether she had a seizure or syncope.",13,3,68
1001373,2011-08-10,1,Ride was started before a child was seated and her foot became lodged between the floor plates.,47,18,26
1007151,2011-08-11,1,"Child ran to get in car, slipped and fell.",1,0,69
1006856,2011-08-12,1,"After riding the coaster, patron was experiencing neck pain. She then went to a show and after the show she was still experiencing pain.",8,1,24
1007167,2011-08-13,1,Patron hit cheek on restraint. Lacerated inside of cheek with her cheek piercing.,1,4,24
1005050,2011-08-13,1,9yo girl smashed her finger as the restraint was closing.,11,6,54
1007155,2011-08-14,1,"While on first drop, patron felt pain in left forearm.",4,9,57
1006854,2011-08-14,1,"After riding the coaster, patron was experiencing neck pain.",8,1,24
1007164,2011-08-16,1,"Patorn was found in the park and stated that while riding the coaster, she injured her neck.",3,1,5
1006915,2011-08-17,2,"Patron stated raft came to a stop behind another raft that was stopped at drop 1 and hit their raft, tipping it, causing their raft to take on water. Attraction was shut down and evacuated.",0,12,10
1006851,2011-08-17,1,The ride stopped and the air gates to the second lift closed. The patron was not prepared for the boat to stop and she hit her mouth on the front dash pad.,10,4,22
1003385,2011-08-17,1,"This was not a ride injury, this was a person who became ill during the train ride had lower stomach pain. &nbsp;",16,2,70
1007172,2011-08-19,1,"Patron exited the ride on his own accord, then complained of feeling dizzy with a headache. Paramedics transported to the hospital due to low blood pressure.",2,2,15
1006849,2011-08-19,1,"While exiting the ride, patron twisted her ankle.  As she twisted her ankle, she tried to catch herself with her right hand.",13,0,71
1003126,2011-08-19,1,"Guest stated while sitting in a seat on the ride, she heard a lound sound, then saw the metal mast from the center of the ride fall into the ride area where she was seated. &nbsp;",12,22,72
1006847,2011-08-20,1,"As the ride was dispatched, patron was talking to her friend and had her head facing to the side. This caused her to twist her neck.",8,1,73
1005758,2011-08-20,1,A woman was aboard the Hades rollercoaster when she felt a bump at the first hill then felt immediate pain.,25,1,74
1007169,2011-08-21,1,Patron stated she experienced nausea and vomiting after riding.,0,2,2
1006845,2011-08-22,1,Patron had a seizure while riding. He has a history of seizures.,13,3,36
1003322,2011-08-23,1,"Guest had a seizure after exiting the train, guest has a medical history of seizures.",9,3,75
1007174,2011-08-24,1,"Patron states that after pumping the fire truck by himself, he began to feel dizzy and out of breath.",6,2,14
1007179,2011-08-25,1,Patron stated she felt dizzy prior to ride and fainted after the ride.,0,3,6
1004498,2011-08-27,1,Patron was going down 1st hill and felt a snap/sharp pain in neck.,21,1,7
1007191,2011-08-28,1,Patron complained of pain to genital area after riding.,1,1,13
1007188,2011-08-29,1,"Patron stated she felt dizzy after riding, said she was weak with low blood pressure.",0,2,0
1007182,2011-09-03,1,Patron hit his head on the horse.,1,4,76
1007194,2011-09-04,1,Father states that the child was trying to push the handle bar of the truck when it bounced back and hit the child's mouth.,6,4,14
1007184,2011-09-04,1,"Father and son were riding together.  Father states when their truck stopped, his son, who was sitting behind the steering wheel, cut his chin.",6,4,14
1007183,2011-09-04,1,Child hit mouth on safety bar.,1,4,77
1006844,2011-09-04,1,Patron (minor) was lifting herself up onto the ride when she heard a snap in her left arm.  She recently had a cast removed from that arm.,13,0,78
1007063,2011-09-08,1,Patron's upper lip hit center wheel during operation.,6,4,32
1007199,2011-09-10,1,Patron stated she felt tightness in her throat after riding.,0,2,3
1007197,2011-09-11,1,Child was riding with father. He hit his head on the ride at the end of the cycle.,4,4,10
1007206,2011-09-17,1,Patron was exiting out of the boat and started to complain of neck pain. Paramedics transported to hospital. Patron was treated and released.,2,1,4
1000128,2011-09-17,1,3 year old female patron received a cut above the right eyebrow as the operator engaged the brakes on the wacky worm coaster as it  pulled into the station.,26,9,79
1007215,2011-09-29,1,Patron complained of pain to low/mid back.,1,1,1
1007214,2011-10-01,1,Patron stated she felt dizziness and heart palpatations after riding.,0,2,3
1007211,2011-10-01,1,Patron complains of mid/lower back pain. Reported three days after incident.,1,1,13
1005117,2011-10-02,1,"Patron complained of left shoulder pain after riding. She was in the 2nd row on the right side when the train came out of the tunnel, turned, and caused her to fall over to the left side of the car and hit her shoulder on the sidewall.",11,4,80
1007216,2011-10-08,1,Haunt monster blew air toward guest.,1,10,8
1007239,2011-10-09,1,Patron contacted park 8 months later to report coccyx and sacroiliac pain from falling back into log when the log she was in was struck by another log.,1,12,37
1007221,2011-10-11,1,Patron stated she had chest pain after riding. She has a history of anxiety attacks.,0,1,3
1007223,2011-10-13,1,Patron states left ankle was caught in the lap bar when entering ride.,1,6,81
1007225,2011-10-20,1,Patron stated he hit his head on the first dip of the ride.,2,4,15
1007237,2011-10-22,1,Patron stated during a turn she hit her face on the child's head next to her.,0,5,3
1007238,2011-10-23,1,Patron walked to first aid and reported that she blacked out while on the ride.,3,3,5
1007236,2011-10-23,1,"Patron requested medical services after riding, feeling weak and dizzy. Transported, treated and released.",2,2,49
1007235,2011-10-27,1,Patron complained of back and rib pain.,1,1,7
1007234,2011-10-27,1,Child hopped out of seat and fell on her right arm.,1,0,82
1005078,2011-10-29,1,Patron stated that her right thumb was smashed by the restraint. &nbsp;,11,6,83
1005077,2011-10-29,1,"Patron complained of pain in her right hand, said it had been smashed between the t-bar and shoulder restraint.",11,6,83
1007233,2011-10-30,1,Patron cut her forehead while riding.,1,4,18
1007232,2011-10-30,1,"Patron fainted durnig ride, requested paramedics.",1,3,84
1006839,2011-10-30,1,"Patron's mother loaded her into the ride, at which time she started to cry. As her mother reached in to take her out, she may have accidentally pushed against the door/gate in the process, pinching the child's finger in the door/gate.",27,6,85
1000695,2011-11-04,1,24 year old female patron was assisting a child off of the ride when she lost her balance  at the top of the exit step.,26,0,79
1006838,2011-11-05,1,"As the ride came to a stop, the patron got up and lost her balance. Her forehead hit the edge of the seat.",27,0,86
1007243,2011-11-17,1,Parent states child's right thumb was pinched in restraint.,1,6,67
1007245,2011-11-18,1,Patron complained of pop in her left shoulder blade.,1,1,24
1006916,2011-11-21,1,Patron stated he fell off of a ladder during an evacuation.,0,23,10
1007244,2011-11-22,1,Child fell off the side of the ramp while exiting.,1,0,87
1007247,2011-11-25,1,Patron returned to the ride station unconscious. Mother stated that he has leukemia.,3,3,9
1007246,2011-11-25,1,"Patron with pre-existing seizure condition rode the ride, then went to stand in line for another attraction.  While in that line, the patron suffered a seizure. Family thought the pre-existing condition might have been aggravated by the ride.",6,3,32
1007263,2011-11-27,1,"Patron was preparing to enter the ride and tripped, falling forward onto cement.",4,0,88
1006921,2011-11-27,1,Patron injured her finger when the lap bar opened at the end of her ride.,3,6,89
1003388,2011-12-03,1,"As Tea Cups came to a stop, patron bumped her head on side of car.",16,4,90
1007259,2011-12-10,1,"Patron stated she didn't raise her right foot high enough as she exited the vehicle, causing her to trip and fall.",0,0,91
1006923,2011-12-25,1,Patron stated she experienced a rash on her legs after riding the attraction. Normal ride operation.,0,2,0
1007264,2011-12-31,1,Patron slipped and fell while exiting.,1,0,92
1007352,2012-01-02,1,Patron complained of mid-back pain after riding.,1,1,24
1007363,2012-01-04,1,Patron states left rib fracture after riding.,1,4,7
1007356,2012-01-06,1,"Patron caught foot on ride while exiting, landed on right knee.",1,0,91
1007362,2012-01-14,1,"Patron was found sitting on a bench in moderate distress. She has a history of seizures, narcolepsy and autism, and may have had a seizure while riding.",3,3,93
1007364,2012-01-21,1,Child slipped in truck area and hit mouth on lever. This occurred in the middle of the track when the child was pumping the truck back to the finish line.,6,4,14
1007367,2012-01-29,1,"Patron stated after riding the attraction, he found a piece of metal in his left eye.",0,10,2
1007366,2012-02-02,1,"According to the mother, her child got off the airplane ride and ran to her, screamed that his neck hurt.",6,1,94
1007371,2012-02-13,1,"Parent stated that her son entered the vehicle for the journey back, pulled the pump handle up and hit his face on the handle.",6,4,14
1007373,2012-02-18,1,"Patron walked to the other side of the park after riding, then complained of neck and back pain.",1,1,84
1008239,2012-02-21,1,Patron stated he slipped and fell backward onto edge of car while stepping into the car. He alleges there was a small puddle on the loading platform next to the car.,0,0,89
1007375,2012-02-21,1,Patron stated she fainted after exiting the ride. She has a history of high blood pressure and takes medication.,0,3,6
1007560,2012-02-25,1,Patron stated she experienced back pain while on the attraction.,0,1,2
1007720,2012-03-02,1,Patron stated she injured her arm and back while exiting the vehicle.,0,0,2
1007486,2012-03-09,1,Patron reported she felt rib pain after riding and saw a physician.,0,1,3
1007383,2012-03-10,1,Patron hit tooth on front of log.,1,4,37
1007382,2012-03-10,1,"Patron was stepping out of the basket of the balloon ride, placing her left foot first. When her jeans caught the bottom latch, she lost her balance and fell down.",0,0,95
1007384,2012-03-11,1,"While exiting the ride, the lap bar came down and hit her hand.",4,6,96
1007389,2012-03-12,1,Mother called park to report that her son was allegedy struck in the face by foliage or a tree branch while ascending the first incline. He has now developed a facial rash.,2,10,4
1007385,2012-03-12,1,"Patorn stated he had chest pressure, dizziness and a racing heartbeat while riding the attraction. History of anxiety attacks.",0,2,0
1007386,2012-03-13,1,Patron stated she experienced pain to her stomach after riding the attraction. Has a history of abdominal hernia.,0,1,3
1003642,2012-03-16,1,Unknown,28,1,97
1007387,2012-03-19,1,"Patron exited the boat on her own accord, then reported neck pain after the final drop.",2,1,4
1007721,2012-03-24,1,Patron stated losing her balance when entering the vehicle. She said that she twisted her left knee and her right elbow on the ground.,5,0,39
1007392,2012-03-24,1,Patron stated losing her balance when entering the vehicle. She stated bumping her head on the ground.,5,0,39
1007420,2012-03-25,1,Patron claims someone spit in her mouth during ride.,1,2,1
1007394,2012-03-25,1,Patron was possibly hit with a tree branch.,1,10,81
1007393,2012-03-25,1,"Father stated that his son was exiting the vehicle, fell forward, and landed on both hands.",6,0,14
1007401,2012-03-26,1,Patron stated pain to lower left ribcage from ride restraint after a ride stop.,0,19,2
1007396,2012-03-26,1,Patron stated delayed back pain resulting from a ride stop.,0,19,2
1007395,2012-03-28,1,Patron hit tooth on the log at the bottom of the ride.,1,4,37
1008304,2012-03-31,1,Patron was riding with his mother in a pod and hit his tooth on the wheel.,6,4,32
1007398,2012-03-31,1,"After exiting the vehicle, patron stated he felt neck pain after the final drop.",2,1,4
1007399,2012-04-02,1,Patron fell exiting seat.,1,0,98
1007409,2012-04-04,1,Patron states right 5th finger got stuck in the lap bar and pulled to the side.,1,6,7
1007404,2012-04-04,1,Patron fell entering log and hit back on log.,1,0,37
1007351,2012-04-04,1,Patron tripped and fell onto the Speedway bar.,13,0,99
1007414,2012-04-05,1,"Patron notified via email, states headaches.",1,1,7
1007402,2012-04-05,1,Patron was in the polar bear viewing area and stated he felt dizzy and light-headed after riding the ride.,4,2,100
1007470,2012-04-07,1,Patron reported to her personal physician that she was experiencing chest pain after riding the attraction 3 days earlier.,3,1,52
1007406,2012-04-07,1,Patron complained of right chest and sternum pain (past surgery to right chest).,1,1,76
1003643,2012-04-07,1,unknown,28,1,97
1007407,2012-04-08,1,"Patron exited ride, then rode another attraction. At that point, he informed first aid that he felt pain in his chest, which started when he was on this attraction.",2,1,15
1007350,2012-04-08,1,Patron stated that the restraint bar opened up in such a way that it caused bruising and a strained muscle in his chest area. He notified the park two days later.,10,6,101
1007408,2012-04-09,1,Patron fell while exiting the ride.,1,0,69
1001828,2012-04-14,1,Mother stated that the patron (autistic mute) reported right shoulder pain and said the ride jerked at the start and in the corkscrew.,29,9,18
1007413,2012-04-17,1,"Patron stated her neck felt sore when the raft momentarily stopped and then continued on, just before the first drop.",0,9,10
1007349,2012-04-21,1,Patron struck the center wheel of the boat while riding.,8,4,10
1007416,2012-04-25,1,Patron put hands up on takeoff and dislocated right shoulder.,1,24,18
1003947,2012-04-29,1,Cars stopped in bottom of the loop,30,19,102
1003946,2012-04-29,1,Cars stopped in bottom of loop,30,19,102
1003562,2012-05-01,1,Was walking along - drinking soda did not pay attention - ran into train.,31,21,103
1007424,2012-05-05,1,Mother stated that her daughter slipped while coming down the exit stairs and hit the back of her head on the decorative rock to the right of the steps.,5,11,104
1005056,2012-05-05,1,Patron said his neck was jarred in the course of the ride cycle.,11,24,105
1007423,2012-05-06,1,Patron was about to ride and in the loading process. She hurt her left wrist as the lap bar was pulled down by a friend. Her hand was trapped between the lap bar and her seat until the ride operator approached them to release her.,4,6,96
1007348,2012-05-06,1,Patron struck her mouth against the fin handle during the ride.,10,4,39
